Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10
85.795,87.07000000000001,75.06,71.17,79.33,85.455,101.62,97.02,84.365,86.33500000000001
71.135,72.345,84.045,79.51,73.645,72.5,79.345,88.235,75.485,79.405
62.64,56.32,64.58500000000001,78.63,72.765,73.645,94.105,58.935,73.31,64.495
63.635,66.37,53.485,52.045,60.36,65.32000000000001,85.32000000000001,61.635,64.325,68.985
51.865,46.825,73.905,60.245000000000005,64.0,71.285,59.71,52.185,53.07,62.035000000000004
61.425000000000004,63.975,60.76,54.58,50.265,47.215,58.870000000000005,59.095,44.515,51.055
55.845,54.02,49.56,51.575,65.24,43.795,47.555,57.435,71.41,56.28
57.585,50.135,71.265,57.95,51.555,49.585,55.745000000000005,57.33,52.75,55.095
52.29,44.515,51.555,39.495,51.07,45.6,38.615,57.54,43.675000000000004,40.94
39.03,38.43,54.215,42.32,57.31,52.875,41.755,53.08,47.46,45.365
38.800000000000004,44.44,53.24,36.625,49.785000000000004,35.49,51.85,42.225,46.76,68.605
48.6,44.31,42.015,51.67,49.045,50.25,45.475,54.605000000000004,52.27,43.875
47.815,37.495,44.35,56.92,51.865,49.84,34.5,41.88,51.38,34.6
36.59,46.86,51.765,32.365,52.965,49.315,51.0,42.655,50.04,54.31
33.015,38.56,51.125,34.085,39.865,33.345,52.165,41.475,41.36,38.175000000000004
38.865,31.035,41.86,45.195,39.345,49.71,32.32,32.43,37.505,34.92
35.345,33.26,42.995,39.7,49.095,47.875,32.835,49.315,33.57,33.955
50.660000000000004,30.01,42.075,42.435,54.155,49.415,49.22,48.405,33.375,38.125
47.995000000000005,33.32,46.39,30.87,49.395,30.52,46.255,35.885,46.815,40.61
31.725,27.985,47.385,46.74,29.84,47.365,38.57,48.275,50.69,31.69
31.185000000000002,30.955000000000002,44.89,43.155,43.525,37.43,44.56,49.2,39.65,45.84
33.67,46.14,47.125,39.545,44.755,48.39,50.14,33.94,35.87,33.17
47.855000000000004,33.32,34.225,34.32,38.535000000000004,31.315,47.01,33.11,30.1,28.25
44.785000000000004,46.515,43.905,31.900000000000002,45.88,49.730000000000004,37.805,38.51,41.85,40.355000000000004
34.835,34.425000000000004,51.495000000000005,37.065,26.82,30.255,32.535000000000004,27.95,43.005,47.9
25.255,28.64,36.655,32.72,33.26,43.915,46.535000000000004,52.51,30.585,31.01
30.925,28.44,41.32,31.2,42.245,39.97,33.03,28.53,47.67,30.265
47.76,30.255,25.060000000000002,29.29,33.725,36.895,32.12,32.8,33.735,47.550000000000004
35.055,26.1,49.22,37.89,48.63,46.14,43.83,44.59,44.77,42.0
40.37,47.055,30.425,31.93,27.025000000000002,30.78,38.71,47.74,47.77,47.26
